PLAYER,POSITION,TEAM,'23-'24 SALARY
Erling Haaland,FW,Manchester City,45.0
Kevin De Bruyne,MF,Manchester City,42.0
Phil Foden,MF,Manchester City,10.0
Bernardo Silva,MF,Manchester City,18.0
Jack Grealish,FW,Manchester City,18.0
Julián Álvarez,FW,Manchester City,8.0
Rodri,MF,Manchester City,15.0
Kyle Walker,DF,Manchester City,12.0
Rúben Dias,DF,Manchester City,15.0
Ederson,GK,Manchester City,12.0
Mohamed Salah,FW,Liverpool,35.0
Virgil van Dijk,DF,Liverpool,30.0
Alisson Becker,GK,Liverpool,15.0
Trent Alexander-Arnold,DF,Liverpool,18.0
Andrew Robertson,DF,Liverpool,12.0
Darwin Núñez,FW,Liverpool,12.0
Cody Gakpo,FW,Liverpool,9.0
Diogo Jota,FW,Liverpool,10.0
Dominik Szoboszlai,MF,Liverpool,11.0
Alexis Mac Allister,MF,Liverpool,9.0
Marcus Rashford,FW,Manchester United,18.0
Bruno Fernandes,MF,Manchester United,21.0
Casemiro,MF,Manchester United,22.0
Raphaël Varane,DF,Manchester United,15.0
Lisandro Martínez,DF,Manchester United,9.0
Luke Shaw,DF,Manchester United,10.0
André Onana,GK,Manchester United,11.0
Antony,FW,Manchester United,12.0
Rasmus Højlund,FW,Manchester United,8.0
Mason Mount,MF,Manchester United,10.0
Bukayo Saka,FW,Arsenal,15.0
Martin Ødegaard,MF,Arsenal,18.0
Declan Rice,MF,Arsenal,20.0
Gabriel Jesus,FW,Arsenal,12.0
Kai Havertz,MF,Arsenal,12.0
Thomas Partey,MF,Arsenal,11.0
William Saliba,DF,Arsenal,9.0
Gabriel Magalhães,DF,Arsenal,9.0
Aaron Ramsdale,GK,Arsenal,7.0
Leandro Trossard,FW,Arsenal,7.0
Harry Kane,FW,Tottenham Hotspur,25.0
Heung-Min Son,FW,Tottenham Hotspur,20.0
James Maddison,MF,Tottenham Hotspur,12.0
Richarlison,FW,Tottenham Hotspur,11.0
Cristian Romero,DF,Tottenham Hotspur,9.0
Pedro Porro,DF,Tottenham Hotspur,8.0
Guglielmo Vicario,GK,Tottenham Hotspur,6.0
Rodrigo Bentancur,MF,Tottenham Hotspur,8.0
Dejan Kulusevski,FW,Tottenham Hotspur,9.0
Yves Bissouma,MF,Tottenham Hotspur,7.0
Raheem Sterling,FW,Chelsea,18.0
Enzo Fernández,MF,Chelsea,12.0
Moises Caicedo,MF,Chelsea,11.0
Reece James,DF,Chelsea,9.0
Thiago Silva,DF,Chelsea,8.0
Nicolas Jackson,FW,Chelsea,6.0
Christopher Nkunku,FW,Chelsea,10.0
Mykhailo Mudryk,FW,Chelsea,8.0
Cole Palmer,MF,Chelsea,7.0
Robert Sánchez,GK,Chelsea,6.0
Ollie Watkins,FW,Aston Villa,9.0
Emiliano Martínez,GK,Aston Villa,8.0
Douglas Luiz,MF,Aston Villa,8.0
Leon Bailey,FW,Aston Villa,7.0
Tyrone Mings,DF,Aston Villa,7.0
John McGinn,MF,Aston Villa,7.0
Diego Carlos,DF,Aston Villa,7.0
Youri Tielemans,MF,Aston Villa,7.0
Pau Torres,DF,Aston Villa,7.0
Matty Cash,DF,Aston Villa,6.0
Jarrod Bowen,FW,West Ham United,8.0
Declan Rice,MF,West Ham United,20.0
Lucas Paquetá,MF,West Ham United,9.0
Michail Antonio,FW,West Ham United,7.0
Tomáš Souček,MF,West Ham United,7.0
Kurt Zouma,DF,West Ham United,6.0
Alphonse Areola,GK,West Ham United,5.0
Saïd Benrahma,FW,West Ham United,6.0
Emerson Palmieri,DF,West Ham United,5.0
Thilo Kehrer,DF,West Ham United,5.0
Alexander Isak,FW,Newcastle United,9.0
Bruno Guimarães,MF,Newcastle United,8.0
Kieran Trippier,DF,Newcastle United,8.0
Sven Botman,DF,Newcastle United,7.0
Nick Pope,GK,Newcastle United,6.0
Joelinton,MF,Newcastle United,7.0
Miguel Almirón,FW,Newcastle United,6.0
Anthony Gordon,FW,Newcastle United,6.0
Allan Saint-Maximin,FW,Newcastle United,7.0
Callum Wilson,FW,Newcastle United,7.0
