Title,Studio,Gross,Gross (Adjusted),Year
Star Wars: The Force Awakens,Buena Vista,936662225,1256708623,2015
Avengers: Endgame,Walt Disney Studios Motion Pictures,858373000,1059847012,2019
Spider-Man: No Way Home,Sony Pictures Releasing,814866759,906208756,2021
Avatar,Fox,760507625,1131107347,2009
Top Gun: Maverick,Paramount Pictures,718732821,771972289,2022
Black Panther,Walt Disney Studios Motion Pictures,700426566,869574584,2018
Avatar: The Way of Water,20th Century Studios,684075767,734748046,2022
Avengers: Infinity War,Walt Disney Studios Motion Pictures,678815482,842744578,2018
Titanic,Paramount,658672302,1574728564,1997
Inside Out 2,Walt Disney Studios Motion Pictures,652980194,652980194,2024
Jurassic World,Universal,652270625,918852381,2015
Deadpool & Wolverine,Walt Disney Studios Motion Pictures,636745858,636745858,2024
Barbie,Warner Bros. Pictures,636238421,657756539,2023
Marvel's The Avengers,Buena Vista,623357910,893652132,2012
Incredibles 2,Walt Disney Studios Motion Pictures,608581744,755549893,2018
The Super Mario Bros. Movie,Universal Pictures,574934330,594379093,2023
The Lion King (2019),Walt Disney Studios Motion Pictures,543638043,671238675,2019
The Dark Knight,Warner Brothers,534858444,865549070,2008
Rogue One: A Star Wars Story,Buena Vista,532177324,702561510,2016
Star Wars: The Rise of Skywalker,Walt Disney Studios Motion Pictures,515202542,636128903,2019
Beauty and the Beast (2017),Buena Vista,504014165,659005804,2017
Finding Dory,Buena Vista,486295561,652770575,2016
Frozen II,Walt Disney Studios Motion Pictures,477373578,589420870,2019
Star Wars: Episode I - The Phantom Menace,Fox,474544677,1049769749,1999
Wicked,Universal Pictures,473231120,473231120,2024
Star Wars,Fox,460998007,2070427167,1977
Moana 2,Walt Disney Studios Motion Pictures,460405297,460405297,2024
Avengers: Age of Ultron,Buena Vista,459005868,622186374,2015
Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,453829060,487446027,2022
The Dark Knight Rises,Warner Brothers,448139099,669319655,2012
Shrek 2,Dreamworks,441226247,825881958,2004
E.T.: The Extra-Terrestrial,Universal,435110554,1648886861,1982
Toy Story 4,Walt Disney Studios Motion Pictures,434038008,535913741,2019
Captain Marvel,Walt Disney Studios Motion Pictures,426829839,527013699,2019
The Hunger Games: Catching Fire,Lionsgate,424668047,594146596,2013
Pirates of the Caribbean: Dead Man's Chest,Buena Vista,423315812,751227459,2006
The Lion King,Buena Vista,422783777,1036220500,1994
Jurassic World: Fallen Kingdom,Universal Pictures,417719760,518596102,2018
Toy Story 3,Buena Vista,415004880,606784246,2010
Doctor Strange in the Multiverse of Madness,Walt Disney Studios Motion Pictures,411331607,441800615,2022
Iron Man 3,Buena Vista,409013994,567338758,2013
Captain America: Civil War,Buena Vista,408084349,543473612,2016
The Hunger Games,Lionsgate,408010692,591224562,2012
Wonder Woman,Warner Brothers,406381596,531349809,2017
Spider-Man,Sony,403706375,807677042,2002
Jurassic Park,Universal,402453882,1068482766,1993
Transformers: Revenge of the Fallen,Paramount/Dreamworks,402111870,626533729,2009
Frozen,Buena Vista,400738009,570043220,2013
Spider-Man: Far from Home,Sony Pictures Releasing,391283774,483124398,2019
Guardians of the Galaxy Vol. 2,Buena Vista,389397196,509142461,2017
Spider-Man: Across the Spider-Verse,Sony Pictures Releasing,381593754,394499576,2023
Harry Potter and the Deathly Hallows Part 2,Warner Brothers,381011219,557825282,2011
Finding Nemo,Buena Vista,380843261,715869523,2003
Star Wars: Episode III - Revenge of the Sith,Fox,380270577,689577238,2005
The Lord of the Rings: The Return of the King,Newline,377845905,716487715,2003
Jurassic World Dominion,Universal Pictures,376851080,404765975,2022
Spider-Man 2,Sony,373585825,699273503,2004
The Passion of the Christ,NM,370782930,693997290,2004
Minions: The Rise of Gru,Universal Pictures,370549695,397997821,2022
The Batman,Warner Bros. Pictures,369345583,396704515,2022
The Secret Life of Pets,Universal,368384330,503006301,2016
Despicable Me 2,Universal,368061265,545087738,2013
The Jungle Book (2016),Buena Vista,364001123,484837342,2016
Deadpool,Fox,363070709,491605298,2016
